iter	Passed	Remaining
0	2	2909
1	5	2773
2	7	2653
3	10	2585
4	12	2509
5	14	2467
6	17	2419
7	19	2406
8	21	2393
9	24	2393
10	26	2371
11	28	2357
12	30	2344
13	33	2333
14	35	2325
15	37	2333
16	40	2330
17	42	2320
18	44	2316
19	47	2304
20	49	2295
21	51	2290
22	53	2283
23	56	2278
24	58	2272
25	60	2265
26	62	2259
27	64	2252
28	67	2246
29	69	2238
30	71	2240
31	74	2238
32	76	2236
33	79	2250
34	81	2251
35	83	2245
36	86	2239
37	88	2238
38	90	2235
39	92	2229
40	95	2231
41	97	2229
42	100	2225
43	102	2221
44	104	2223
45	107	2220
46	109	2219
47	111	2216
48	114	2213
49	116	2208
50	118	2204
51	120	2203
52	123	2202
53	126	2210
54	128	2207
55	130	2203
56	132	2200
57	135	2199
58	137	2198
59	140	2197
60	142	2195
61	145	2195
62	147	2193
63	149	2191
64	152	2191
65	154	2189
66	157	2189
67	159	2185
68	161	2182
69	164	2179
70	166	2176
71	168	2176
72	171	2178
73	174	2178
74	176	2175
75	178	2171
76	180	2169
77	183	2166
78	185	2164
79	187	2161
80	190	2157
81	192	2154
82	194	2152
83	197	2149
84	199	2146
85	201	2145
86	204	2142
87	206	2140
88	208	2138
89	211	2134
90	213	2131
91	215	2129
92	218	2128
93	220	2124
94	223	2129
95	225	2126
96	228	2123
97	230	2120
98	232	2120
99	235	2119
100	237	2118
101	240	2117
102	242	2114
103	245	2112
104	247	2110
105	250	2108
106	252	2106
107	255	2107
108	257	2105
109	259	2102
110	262	2099
111	264	2096
112	266	2094
113	269	2091
114	271	2088
115	273	2086
116	276	2083
117	278	2081
118	281	2081
119	283	2079
120	285	2077
121	288	2074
122	290	2070
123	293	2070
124	295	2068
125	297	2066
126	300	2064
127	302	2061
128	304	2058
129	307	2055
130	309	2052
131	311	2049
132	314	2048
133	316	2045
134	318	2042
135	321	2039
136	323	2037
137	325	2035
138	328	2032
139	330	2030
140	332	2028
141	335	2026
142	337	2023
143	339	2021
144	342	2018
145	344	2015
146	347	2013
147	349	2011
148	351	2008
149	354	2007
150	356	2005
151	359	2003
152	361	2001
153	363	1998
154	366	1996
155	368	1994
156	371	1992
157	373	1990
158	375	1988
159	378	1986
160	380	1983
161	383	1982
162	385	1978
163	387	1976
164	389	1973
165	392	1970
166	394	1968
167	396	1965
168	399	1963
169	401	1960
170	403	1958
171	406	1955
172	408	1953
173	411	1951
174	413	1948
175	415	1946
176	418	1944
177	420	1941
178	422	1938
179	424	1935
180	427	1934
181	429	1932
182	432	1929
183	434	1926
184	436	1924
185	439	1921
186	441	1918
187	443	1916
188	446	1914
189	448	1911
190	450	1909
191	452	1906
192	455	1903
193	457	1901
194	459	1898
195	462	1896
196	464	1893
197	467	1892
198	469	1889
199	471	1887
200	474	1885
201	476	1883
202	479	1881
203	481	1878
204	483	1876
205	486	1873
206	488	1871
207	491	1869
208	493	1866
209	495	1864
210	498	1862
211	500	1859
212	502	1856
213	504	1854
214	507	1852
215	509	1850
216	512	1847
217	514	1845
218	516	1843
219	519	1840
220	522	1842
221	525	1840
222	527	1837
223	529	1835
224	532	1832
225	534	1830
226	536	1827
227	539	1825
228	541	1823
229	544	1821
230	546	1818
231	548	1815
232	550	1811
233	552	1809
234	555	1807
235	557	1805
236	559	1802
237	562	1800
238	564	1797
239	567	1796
240	569	1793
241	571	1791
242	574	1788
243	576	1786
244	578	1783
245	581	1780
246	583	1777
247	585	1775
248	587	1772
249	590	1770
250	592	1767
251	594	1764
252	596	1762
253	599	1759
254	601	1757
255	603	1754
256	606	1752
257	608	1749
258	610	1747
259	613	1745
260	615	1742
261	618	1741
262	620	1739
263	623	1737
264	625	1735
265	628	1733
266	630	1731
267	633	1729
268	635	1727
269	638	1726
270	641	1725
271	643	1723
272	646	1721
273	648	1718
274	650	1715
275	653	1713
276	655	1711
277	658	1709
